Tactic,Feature,Importance
TA0001,STRING:pp9e u:ppvwp,0.026874838996996487
TA0001,"STRING:<?xml version=...8"" standalone=""yes""?>",0.02662461818609897
TA0001,SYSTEM:DLL_LOADED:advapi32.dll,0.025339098137756116
TA0001,API:NtDelayExecution,0.018730523978404717
TA0001,API:CreateDirectoryW,0.016045730133386095
TA0001,SYSTEM:DLL_LOADED:dwmapi.dll,0.015908252956107413
TA0001,SIGNATURE:dead_host,0.014793870638773132
TA0001,API:NtSetInformationFile,0.014561437116582929
TA0001,API:GetSystemWindowsDirectoryW,0.014446613329612917
TA0001,STRING:getmodulefilenamew,0.013380130317759397
TA0001,REG:READ:HKEY_LOCAL_M...llocatorUseSystemHeap,0.013354806715276302
TA0001,SYSTEM:DLL_LOADED:shlwapi.dll,0.013252589514696244
TA0001,FILE:OPENED:c:\window...\en-us\netmsg.dll.mui,0.011462248872785886
TA0001,SYSTEM:DLL_LOADED:c:\...ws\system32\imm32.dll,0.01139729849456963
TA0001,STRING:findfirstfileexa,0.010882202190419347
TA0001,REG:READ:HKEY_LOCAL_M...orSystemHeapIsPrivate,0.010675249044057936
TA0001,REG:READ:HKEY_LOCAL_M...dows\LoadAppInit_DLLs,0.010560101917119332
TA0001,STRING:wwwpws,0.010133206799398853
TA0001,STRING:findfirstfileexw,0.009973813606604792
TA0001,API:GetTempPathW,0.00984917304439912
TA0001,SYSTEM:DLL_LOADED:mpr.dll,0.009777817885671697
TA0001,API:UuidCreate,0.009554998958646742
TA0001,STRING:qqswj0j@,0.008990986824651763
TA0001,API:RegCreateKeyExW,0.008864778112282154
TA0001,SIGNATURE:console_output,0.008441906547257906
TA0001,STRING:cryptdecrypt,0.00832875477040534
TA0001,STRING:.reloc,0.008207684469830107
TA0001,SYSTEM:DLL_LOADED:c:\...\system32\uxtheme.dll,0.008205065854566375
TA0001,STRING:iphlpapi.dll,0.007801267609311331
TA0001,STRING:ssvwh ,0.007757779650352421
TA0001,SIGNATURE:has_authenticode,0.007134739469990128
TA0001,SIGNATURE:packer_entropy,0.0071079756698987084
TA0001,SYSTEM:DLL_LOADED:crypt32.dll,0.006914010579883108
TA0001,API:GetSystemDirectoryW,0.006750247609176312
TA0001,API:WriteConsoleW,0.006681515859722817
TA0001,SIGNATURE:exe_appdata,0.0065998866524485155
TA0001,STRING:`.rdata,0.006566260540081244
TA0001,API:LoadResource,0.006432100460668153
TA0001,STRING:@.reloc,0.0062623036200827945
TA0001,API:GetNativeSystemInfo,0.006190920749430263
TA0001,SYSTEM:DLL_LOADED:version.dll,0.006097231964202607
TA0001,API:CreateActCtxW,0.005682292556926546
TA0001,API:NtOpenProcess,0.005649845618573267
TA0001,STRING:  </trustinfo>,0.005563959396934726
TA0001,STRING:createdirectorya,0.005480011012317634
TA0001,STRING:getcurrentprocessid,0.005479100810958111
TA0001,STRING:      <requestedprivileges>,0.005333360338817753
TA0001,API:GetComputerNameW,0.0052242475888911975
TA0001,FILE:OPENED:c:\window...rting\sortdefault.nls,0.005198849931062279
TA0001,DROP:EXTENSION:exe,0.005180413209826157
TA0001,STRING:comctl32.dll,0.005089832792605323
TA0001,SIGNATURE:network_icmp,0.0050509553655305964
TA0001,API:GetDiskFreeSpaceExW,0.0048907594989747
TA0001,API:FindResourceExW,0.004875147230971196
TA0001,API:CreateProcessInternalW,0.004832937637817735
TA0001,STRING:setstdhandle,0.004806727894639044
TA0001,REG:READ:HKEY_LOCAL_M...ons\MachineThrottling,0.004771525137211073
TA0001,API:NtProtectVirtualMemory,0.004769188967196843
TA0001,STRING:.data$r,0.0047497756403077525
TA0001,API:NtQueryDirectoryFile,0.004703096262807649
TA0001,API:SHGetFolderPathW,0.004649642922236112
TA0001,API:RegSetValueExA,0.0045809489370799246
TA0001,STRING:entercriticalsection,0.004524655099759496
TA0001,SIGNATURE:persistence_autorun,0.00446246527871907
TA0001,SIGNATURE:antivm_queries_computername,0.004403094900535109
TA0001,REG:READ:HKEY_LOCAL_M...rol\CMF\Config\SYSTEM,0.004361778029470546
TA0001,SYSTEM:DLL_LOADED:comctl32.dll,0.004309319221794379
TA0001,STRING:f9:t!v,0.004256189829116487
TA0001,SIGNATURE:antivm_disk_size,0.004234460370896524
TA0001,"STRING:  <trustinfo x...icrosoft-com:asm.v3"">",0.004154982298898459
TA0001,STRING:varfileinfo,0.00410743417952369
TA0001,STRING:shell32.dll,0.004098392227657912
TA0001,REG:READ:HKEY_CURRENT...essor\DisableUNCCheck,0.00406630184835467
TA0001,STRING:      </requestedprivileges>,0.004043240108274192
TA0001,STRING:pppppws,0.003986245484769145
TA0001,STRING:bad allocation,0.00389228110405075
TA0001,STRING:oleaut32.dll,0.003875858028937404
TA0001,STRING:flushfilebuffers,0.0038543611309425265
TA0001,API:NtAllocateVirtualMemory,0.003828243733492257
TA0001,STRING:endpaint,0.0037719388482714816
TA0001,REG:OPENED:HKEY_LOCAL...trolSet\Services\LDAP,0.003584871833785464
TA0001,STRING:lstrlena,0.0035621397703744923
TA0001,STRING:getconsolecp,0.003545445720706005
TA0001,STRING:user32,0.0035413091410769794
TA0001,API:NtQueryInformationFile,0.003519941304514891
TA0001,API:NtWriteFile,0.0035068921651131447
TA0001,STRING:heapalloc,0.003413010644064992
TA0001,STRING:setendoffile,0.003398065679382165
TA0001,STRING:cmd.exe,0.0033830115526475805
TA0001,REG:READ:HKEY_CURRENT...\Toggle\Layout Hotkey,0.003349941053851137
TA0001,API:LdrGetProcedureAddress,0.003314972993961543
TA0001,API:GetComputerNameA,0.003291965963877727
TA0001,STRING:__based(,0.003263036965765803
TA0001,API:GetSystemMetrics,0.003202550753644897
TA0001,SYSTEM:DLL_LOADED:c:\...c71ed437a\gdiplus.dll,0.0031785668172093196
TA0001,STRING:9c`u99c\t4,0.0031621431079847406
TA0001,STRING:localfree,0.003154729147150807
TA0001,STRING:readfile,0.0031544728346939483
